InChIKey14,broad_id_20170327,deprecated_broad_id_20170327,pert_iname_20170327,broad_id_20180516,deprecated_broad_id_20180516,pert_iname_20180516,broad_id_20180907,deprecated_broad_id_20180907,pert_iname_20180907,broad_id_20200324,deprecated_broad_id_20200324,pert_iname_20200324
UKNHQPDCWMADJW,BRD-A93407926,,allopurinol-riboside,BRD-A93407926,,allopurinol-riboside,BRD-A93407926,,allopurinol-riboside,,,
UKNSBNVKSFTZOJ,BRD-K25837718,,josamycin,BRD-K25837718,,josamycin,BRD-K25837718,,josamycin,,,
UKOQVLAXCBRRGH,BRD-K68805147,,pafuramidine,BRD-K68805147,,pafuramidine,BRD-K68805147,,pafuramidine,BRD-K68805147,,pafuramidine
UKTAZPQNNNJVKR,BRD-K34008116,,dolasetron,BRD-K34008116|BRD-K37792492,,dolasetron,BRD-K28029915,BRD-K34008116|BRD-K37792492,dolasetron,BRD-K28029915,BRD-K34008116|BRD-K37792492,dolasetron
ULDXWLCXEDXJGE,BRD-K68065987,,MK-2206,BRD-K68065987,,MK-2206,BRD-K68065987,,MK-2206,BRD-K68065987,,MK-2206
ULFRLSNUDGIQQP,BRD-K75699339,,rizatriptan,BRD-K75699339,,rizatriptan,BRD-K75699339,,rizatriptan,BRD-K75699339,,rizatriptan
ULGZDMOVFRHVEP,BRD-A20485507|BRD-K05127550|BRD-K63550407,,erythromycin,BRD-K05127550|BRD-K63550407,,erythromycin,BRD-K63550407,BRD-K05127550,erythromycin,BRD-K63550407,BRD-K05127550,erythromycin
ULLNJSBQMBKOJH,BRD-A60294240,,tribenoside,BRD-A60294240,,tribenoside,BRD-A60294240,,tribenoside,BRD-A60294240,,tribenoside
ULRDYYKSPCRXAJ,BRD-K42981054,,mibampator,BRD-K42981054,,mibampator,BRD-K42981054,,mibampator,BRD-K42981054,,mibampator
ULSDMUVEXKOYBU,BRD-K54314721,,zolmitriptan,BRD-K54314721,,zolmitriptan,BRD-K54314721,,zolmitriptan,BRD-K54314721,,zolmitriptan
ULSSJYNJIZWPSB,BRD-K20013301,,LY411575,BRD-K20013301,,LY411575,BRD-K20013301,,LY411575,BRD-K20013301,,LY411575
ULSUXBXHSYSGDT,BRD-K25186396,,tangeritin,BRD-K25186396,,tangeritin,BRD-K25186396,,tangeritin,BRD-K25186396,,tangeritin
ULXXDDBFHOBEHA,BRD-K66175015,,afatinib,BRD-K66175015,,afatinib,BRD-K66175015,,afatinib,BRD-K66175015,,afatinib
ULYONBAOIMCNEH,BRD-K56740996,,flindokalner,BRD-K56740996,,flindokalner,BRD-K56740996,,flindokalner,BRD-K56740996,,flindokalner
UMFDLIXUUJMPSI,BRD-K22327730,,2-methyl-5-nitrophenol,BRD-K22327730,,2-methyl-5-nitrophenol,BRD-K22327730,,2-methyl-5-nitrophenol,BRD-K22327730,,2-methyl-5-nitrophenol
UMGBFFAJXFXOIL,BRD-K86600316,,RS-79948,BRD-K86600316,,RS-79948,BRD-K86600316,,RS-79948,BRD-K86600316,,RS-79948
UMGQVUWXNOJOSJ,BRD-K17415526,,tyrphostin-AG-835,BRD-K17415526,,tyrphostin-AG-835,BRD-K17415526,,tyrphostin-AG-835,BRD-K17415526,,tyrphostin-AG-835
UMJHTFHIQDEGKB,BRD-K60102752,,alibendol,BRD-K60102752,,alibendol,BRD-K60102752,,alibendol,BRD-K60102752,,alibendol
UMJUNUMSJDTYTM,BRD-K17743697,,KB-R7943,BRD-K17743697,,KB-R7943,BRD-K17743697,,KB-R7943,BRD-K17743697,,KB-R7943
UMQUQWCJKFOUGV,BRD-A40084411,,CGP-12177,BRD-A40084411,,CGP-12177,BRD-A40084411,,CGP-12177,BRD-A40084411,,CGP-12177
UMUPQWIGCOZEOY,BRD-K44771174,,ibutamoren,BRD-K44771174,,ibutamoren,BRD-K44771174,,ibutamoren,BRD-K44771174,,ibutamoren
UNAANXDKBXWMLN,BRD-A23359898,,sibutramine,BRD-A23359898,,sibutramine,BRD-A23359898,,sibutramine,,,
UNAZAADNBYXMIV,BRD-K09090949,,"CP-945,598",BRD-K09090949,,"CP-945,598",BRD-K09090949,,"CP-945,598",BRD-K09090949,,"CP-945,598"
UNBRKDKAWYKMIV,BRD-K34685430,,methylergometrine,BRD-K34685430,,methylergometrine,BRD-K34685430,,methylergometrine,BRD-K34685430,,methylergometrine
UNFWWIHTNXNPBV,BRD-K11905747|BRD-K38300715,,spectinomycin,BRD-K11905747|BRD-K38300715,,spectinomycin,BRD-K11905747,BRD-K38300715,spectinomycin,BRD-K11905747,BRD-K38300715,spectinomycin
UNIDAFCQFPGYJJ,BRD-A19381518,,CHPG,BRD-A19381518,,CHPG,BRD-A19381518,,CHPG,BRD-A19381518,,CHPG
UNJFKXSSGBWRBZ,BRD-K11124378,,ceftibuten,BRD-K11124378,,ceftibuten,BRD-K11124378,,ceftibuten,BRD-K11124378,,ceftibuten
UNRCMCRRFYFGFX,BRD-K99498722,,plinabulin,BRD-K99498722,,plinabulin,BRD-K99498722,,plinabulin,BRD-K99498722,,plinabulin
UNXHWFMMPAWVPI,BRD-K79315489,,erythritol,BRD-K79315489,,erythritol,BRD-K79315489,,erythritol,BRD-K79315489,,erythritol
UOACKFBJUYNSLK,BRD-A91452556,,estradiol-cypionate,BRD-A91452556,,estradiol-cypionate,BRD-A91452556,,estradiol-cypionate,BRD-K64984393,,estradiol-cypionate
UOBYJVFBFSLCTQ,BRD-K49659468,,TMC647055,BRD-K49659468,,TMC647055,BRD-K49659468,,TMC647055,BRD-K49659468,,TMC647055
UOLJKAPABHXFRE,BRD-K70281171,,U-99194,BRD-K70281171,,U-99194,BRD-K70281171,,U-99194,BRD-K70281171,,U-99194
UOMKBIIXHQIERR,BRD-K97939847,,cridanimod,BRD-K97939847,,cridanimod,BRD-K97939847,,cridanimod,BRD-K97939847,,cridanimod
UOORQSPLBHUQDQ,BRD-K46392623,,TG-100713,BRD-K46392623,,TG-100713,BRD-K46392623,,TG-100713,BRD-K46392623,,TG-100713
UOVCGJXDGOGOCZ,BRD-K32942258,,RG1530,BRD-K32942258,,RG1530,BRD-K32942258,,RG1530,,,
UOWGYMNWMDNSTL,BRD-K58413118,,3PO,BRD-K58413118,,3PO,BRD-K58413118,,3PO,BRD-K58413118,,3PO
UOWZUVNAGUAEQC,BRD-K61236135,,tiratricol,BRD-K61236135,,tiratricol,BRD-K61236135,,tiratricol,BRD-K61236135,,tiratricol
UOZODPSAJZTQNH,BRD-A20920572|BRD-K25359791|BRD-K36524108,,paromomycin,BRD-A20920572|BRD-K36524108,,paromomycin,BRD-K36524108,BRD-A20920572|BRD-K25359791|BRD-M40700687,paromomycin,BRD-K36524108,BRD-A20920572|BRD-K25359791|BRD-M40700687,paromomycin
UPABQMWFWCMOFV,BRD-K13473780,,benethamine,BRD-K13473780,,benethamine,BRD-K13473780,BRD-M11305712,benethamine,BRD-K13473780,BRD-M11305712,benethamine
UPALIKSFLSVKIS,BRD-K56334280,,amonafide,BRD-K56334280,,amonafide,BRD-K56334280,,amonafide,BRD-K56334280,,amonafide
UPJSUQWHUVLLNW,BRD-K43436647,,ARQ-621,BRD-K43436647,,ARQ-621,BRD-K43436647,,ARQ-621,BRD-K43436647,,ARQ-621
UPKULXKXQDCEPE,BRD-K21237892,,semapimod,BRD-K21237892,,semapimod,BRD-K21237892,,semapimod,,,
UPMRZALMHVUCIN,BRD-K75551531,,nitecapone,BRD-K75551531,,nitecapone,BRD-K75551531,,nitecapone,BRD-K75551531,,nitecapone
UPNUIXSCZBYVBB,BRD-K07857022,,alvimopan,BRD-K07857022,,alvimopan,BRD-K07857022,,alvimopan,BRD-K07857022,,alvimopan
UPPMZCXMQRVMME,BRD-A56613951,,valethamate,BRD-A56613951,,valethamate,BRD-A56613951,,valethamate,BRD-A56613951,,valethamate
UPSPUYADGBWSHF,BRD-K82562631,,tolmetin,BRD-K82562631,,tolmetin,BRD-K82562631,,tolmetin,BRD-K82562631,,tolmetin
UPTYCYWTFGTCCG,BRD-K72462751,,C-1,BRD-K72462751,,C-1,BRD-K72462751,,C-1,BRD-K72462751,,C-1
UPWGQKDVAURUGE,BRD-K77087341,,2-Oleoylglycerol,BRD-K77087341,,2-Oleoylglycerol,BRD-K77087341,,2-Oleoylglycerol,BRD-K77087341,,2-oleoylglycerol
UPZFHUODAYGHDZ,BRD-K17874929,,bromebric-acid,BRD-K17874929,,bromebric-acid,BRD-K17874929,,bromebric-acid,BRD-K17874929,,bromebric-acid
UPZWINBEAHDTLA,BRD-K62387885,,basimglurant,BRD-K62387885,,basimglurant,BRD-K62387885,,basimglurant,BRD-K62387885,,basimglurant
UQDVRVNMIJAGRK,BRD-K52219182,,ICI-63197,BRD-K52219182,,ICI-63197,BRD-K52219182,,ICI-63197,BRD-K52219182,,ICI-63197
UQEAIHBTYFGYIE,BRD-K26674746,,dimethicone,BRD-K26674746,,dimethicone,BRD-K26674746,,dimethicone,BRD-K26674746,,dimethicone
UQGKUQLKSCSZGY,BRD-K78485176,,olmesartan-medoxomil,BRD-K78485176,,olmesartan-medoxomil,BRD-K78485176,,olmesartan-medoxomil,BRD-K78485176,,olmesartan-medoxomil
UQLLWWBDSUHNEB,BRD-K25085912|BRD-K49880111,,cephapirin,BRD-K25085912|BRD-K49880111,,cephapirin,BRD-K49880111,BRD-K25085912,cephapirin,BRD-K49880111,BRD-K25085912,cephapirin
UQNAFPHGVPVTAL,BRD-K11796549,,NBQX,BRD-K11796549,,NBQX,BRD-K11796549,,NBQX,BRD-K11796549,,NBQX
UQOOPIMXBSPVJI,BRD-K46531780,,methylbenzethonium-chloride,BRD-K46531780,,methylbenzethonium-chloride,BRD-K46531780,,methylbenzethonium-chloride,BRD-K46531780,,methylbenzethonium-chloride
UQOSBPRTQFFUOA,BRD-K89053832,,VLX600,BRD-K89053832,,VLX600,BRD-K89053832,,VLX600,BRD-K26122255|BRD-K89053832,,VLX600
UQPMANVRZYYQMD,BRD-K42500029,,CGP-57380,BRD-K42500029,,CGP-57380,BRD-K42500029,,CGP-57380,BRD-K42500029,,CGP-57380
UQRCJCNVNUFYDX,BRD-K69001009,,golvatinib,BRD-K69001009,,golvatinib,BRD-K69001009,,golvatinib,BRD-K69001009,,golvatinib
UQRORFVVSGFNRO,BRD-K33251802,,miglustat,BRD-K33251802,,miglustat,BRD-K33251802,,miglustat,BRD-K33251802,,miglustat
UQTPDWDAYHAZNT,BRD-K21865955,,NS-018,BRD-K21865955,,NS-018,BRD-K21865955,,NS-018,BRD-K21865955,,NS-018
URAYPUMNDPQOKB,BRD-K92844263,,triacetin,BRD-K92844263,,triacetin,BRD-K92844263,,triacetin,BRD-K92844263,,triacetin
URCVCIZFVQDVPM,BRD-K91623615,,ABT-751,BRD-K91623615,,ABT-751,BRD-K91623615,,ABT-751,BRD-K91623615,,ABT-751
UREBDLICKHMUKA,BRD-A02180903|BRD-A10188456|BRD-A27572786|BRD-K12955147|BRD-K45192137,,betamethasone|dexamethasone,BRD-A02180903|BRD-A10188456|BRD-A27572786|BRD-K12955147|BRD-K45192137,,betamethasone|dexamethasone,BRD-A02180903|BRD-A10188456|BRD-K12955147|BRD-K38775274,BRD-A27572786|BRD-K45192137,betamethasone|dexamethasone,BRD-K38775274|BRD-K39188321,BRD-A27572786|BRD-K45192137,betamethasone|dexamethasone
URFCJEUYXNAHFI,BRD-K94689771,,pinocembrin,BRD-K94689771,,pinocembrin,BRD-K94689771,,pinocembrin,BRD-K94689771,,pinocembrin
URJQOOISAKEBKW,BRD-K90629600,,emorfazone,BRD-K90629600,,emorfazone,BRD-K90629600,,emorfazone,BRD-K90629600,,emorfazone
URKOMYMAXPYINW,BRD-K68867920,,quetiapine,BRD-K68867920,BRD-M66874015,quetiapine,BRD-K68867920,BRD-M66874015,quetiapine,BRD-K68867920,BRD-M66874015,quetiapine
URLJMZWTXZTZRR,BRD-K84544951,,sodium-tetradecyl-sulfate,BRD-K84544951,,sodium-tetradecyl-sulfate,BRD-K84544951,,sodium-tetradecyl-sulfate,,,
URWAJWIAIPFPJE,BRD-A29840884|BRD-A68997559,,sisomicin|sisomicin-sulfate,BRD-A29840884|BRD-A68997559,,sisomicin|sisomicin-sulfate,BRD-A68997559|BRD-K71772032,BRD-A29840884|BRD-M47753525|BRD-M71798497,sisomicin|sisomicin-sulfate,BRD-A68997559|BRD-K71772032,BRD-A29840884|BRD-K71772032|BRD-M47753525|BRD-M71798497,sisomicin|sisomicin-sulfate
URXWVWVPMJSAJD,BRD-K48329353,,"6,_7-dehydro-17-acetoxy-progesterone",BRD-K48329353,,"6,_7-dehydro-17-acetoxy-progesterone",BRD-K48329353,,"6,_7-dehydro-17-acetoxy-progesterone",BRD-K48329353,,"6,7-dehydro-17-acetoxy-progesterone"
USOXQZNJFMKTKJ,BRD-K60184833,,tyrphostin-AG-99,BRD-K60184833,,tyrphostin-AG-99,BRD-K60184833,,tyrphostin-AG-99,BRD-K60184833,,tyrphostin-AG-99
USRHYDPUVLEVMC,BRD-K51579475,,dapoxetine,BRD-K51579475,,dapoxetine,BRD-K51579475,,dapoxetine,BRD-K51579475,,dapoxetine
USYRQXDHKXGTCK,BRD-K80021413,,ML204,BRD-K80021413,,ML204,BRD-K80021413,,ML204,BRD-K80021413,,ML204
USZAGAREISWJDP,BRD-K43230258,,crisaborole,BRD-K43230258,,crisaborole,BRD-K43230258,,crisaborole,BRD-K43230258,,crisaborole
USZYSDMBJDPRIF,BRD-A80805100,,aclarubicin,BRD-A80805100,,aclarubicin,BRD-A80805100,,aclarubicin,BRD-K31965398,,aclarubicin
UTLPKQYUXOEJIL,BRD-K81225797,,SCH-58261,BRD-K81225797,,SCH-58261,BRD-K81225797,,SCH-58261,BRD-K81225797,,SCH-58261
UTWSZXBGTLNPOV,BRD-K46989997,,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",BRD-K46989997,,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",BRD-K46989997,,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",BRD-K46989997,,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one"
UUBHZHZSIKRVIV,BRD-K99431849,,peretinoin,BRD-K99431849,,peretinoin,BRD-K99431849,,peretinoin,BRD-K99431849,,peretinoin
UUDAMDVQRQNNHZ,BRD-A34716233|BRD-K92493880,,AMPA-(RS)|AMPA-(S),BRD-A34716233|BRD-K92493880,,AMPA-(RS)|AMPA-(S),BRD-A34716233|BRD-K92493880,,AMPA-(RS)|AMPA-(S),BRD-K01826817|BRD-K92493880,,AMPA-(RS)|AMPA-(S)
UUIYULWYHDSXHL,BRD-A45499626|BRD-K79753741,,UBP-302,BRD-A45499626|BRD-K79753741,,UBP-302,BRD-A45499626|BRD-K79753741,,UBP-296|UBP-302,BRD-A45499626|BRD-K79753741,,UBP-296|UBP-302
UUKPIWYXWLJPJF,BRD-K82421491,,IPAG,BRD-K82421491,,IPAG,BRD-K82421491,,IPAG,BRD-K82421491,,IPAG
UUKWKUSGGZNXGA,BRD-K76381435,,nitromide,BRD-K76381435,,nitromide,BRD-K76381435,,nitromide,BRD-K76381435,,nitromide
UULIGRNKXHCLQN,BRD-K34321528,,CGP-71683,BRD-K34321528,,CGP-71683,BRD-K34321528,,CGP-71683,BRD-K34321528,,CGP-71683
UULSXYSSHHRCQK,BRD-A46136514,,butibufen,BRD-A46136514,,butibufen,BRD-A46136514,,butibufen,BRD-A46136514,,butibufen
UUMLTINZBQPNGF,BRD-A09370961,,ioxilan,BRD-A09370961,,ioxilan,BRD-A09370961,,ioxilan,BRD-A09370961,,ioxilan
UUOJIACWOAYWEZ,BRD-A07563059,,bopindolol,BRD-A07563059,,bopindolol,BRD-A07563059,,bopindolol,BRD-K01825685,,bopindolol
UUQMNUMQCIQDMZ,BRD-K91315211,,betahistine,BRD-K91315211,,betahistine,BRD-K91315211,,betahistine,BRD-K91315211,,betahistine
UUTKICFRNVKFRG,BRD-K44442813,,pidotimod,BRD-K44442813,,pidotimod,BRD-K44442813,,pidotimod,BRD-K44442813,,pidotimod
UUVWYPNAQBNQJQ,BRD-K67043667,,altretamine,BRD-K67043667,,altretamine,BRD-K67043667,,altretamine,BRD-K67043667,,altretamine
UVCJGUGAGLDPAA,BRD-K02729857,,phenylbenzimidazole-sulfonic-acid,BRD-K02729857,,phenylbenzimidazole-sulfonic-acid,BRD-K02729857,,phenylbenzimidazole-sulfonic-acid,BRD-K02729857,,phenylbenzimidazole-sulfonic-acid
UVIQSJCZCSLXRZ,BRD-K16133773|BRD-K24048528,,abiraterone-acetate,BRD-K16133773|BRD-K24048528,,abiraterone-acetate,BRD-K24048528,BRD-K16133773,abiraterone-acetate,BRD-K24048528,BRD-K16133773,abiraterone-acetate
UVJYAKBJSGRTHA,BRD-K62734952,,arglabin,BRD-K62734952,,arglabin,BRD-K62734952,,arglabin,BRD-K62734952,,arglabin
UVKZSORBKUEBAZ,BRD-K79501723,,cyclizine,BRD-K79501723,,cyclizine,BRD-K79501723,,cyclizine,BRD-K79501723,,cyclizine
UVSMNLNDYGZFPF,BRD-A12994259,,pomalidomide,BRD-A12994259,,pomalidomide,BRD-A12994259,,pomalidomide,BRD-A12994259,,pomalidomide
UVSWWUWQVAQPJR,BRD-K90777969,,cutamesine,BRD-K90777969,,cutamesine,BRD-K90777969,,cutamesine,BRD-K90777969,,cutamesine
UVTNFZQICZKOEM,BRD-A29734509,,disopyramide,BRD-A29734509,,disopyramide,BRD-A29734509,,disopyramide,BRD-A29734509,,disopyramide
UVUYWJWYRLJHEN,BRD-K31802667,,JNJ-37822681,BRD-K31802667,,JNJ-37822681,BRD-K31802667,,JNJ-37822681,BRD-K31802667,,JNJ-37822681
UWEYRJFJVCLAGH,BRD-K55401595,,perfluorodecalin,BRD-K55401595,,perfluorodecalin,BRD-K55401595,,perfluorodecalin,BRD-K55401595,,perfluorodecalin
UWFYSQMTEOIJJG,BRD-A95207036|BRD-K41141507|BRD-K59573506,,cyproterone-acetate,BRD-A95207036|BRD-K41141507,,cyproterone-acetate,BRD-K41141507,BRD-A95207036|BRD-K59573506,cyproterone-acetate,BRD-K41141507,BRD-A95207036|BRD-K59573506,cyproterone-acetate
UWKQSNNFCGGAFS,BRD-K08547377|BRD-K72035773,,irinotecan,BRD-K08547377|BRD-K72035773,,irinotecan,BRD-K08547377,BRD-K72035773,irinotecan,BRD-K08547377,BRD-K72035773,irinotecan
UWWDHYUMIORJTA,BRD-K34441861,,moexipril,BRD-K34441861,,moexipril,BRD-K34441861,,moexipril,BRD-K34441861,,moexipril
UWWMQHVWAYFCDT,BRD-K80060353,,IEM1754,BRD-K80060353,,IEM1754,BRD-K80060353,,IEM1754,BRD-K80060353,,IEM1754
UWXSAYUXVSFDBQ,BRD-K46386702,,ARRY-334543,BRD-K46386702,,ARRY-334543,BRD-K46386702,,ARRY-334543,BRD-K46386702,,ARRY-334543
UWYHMGVUTGAWSP,BRD-A66481418|BRD-K71213463|BRD-K96786677,,oxacillin,BRD-A66481418|BRD-K71213463|BRD-K96786677,,oxacillin,BRD-K96786677,BRD-A66481418|BRD-K71213463,oxacillin,BRD-K96786677,BRD-A66481418|BRD-K71213463,oxacillin
UXABARREKCJULM,BRD-A10903566,,imiloxan,BRD-A10903566,,imiloxan,BRD-A10903566,,imiloxan,BRD-A10903566,,imiloxan
UXIGWFXRQKWHHA,BRD-K98250023,,iothalamic-acid-d3,BRD-K98250023,,iothalamic-acid-d3,BRD-K98250023,,iothalamic-acid-d3,BRD-K98250023,,iothalamic-acid-d3
UXJFDYIHRJGPFS,BRD-A23747351,,sirtinol,BRD-A23747351,,sirtinol,BRD-A23747351,,sirtinol,BRD-A23747351,,sirtinol
UXOWGYHJODZGMF,BRD-K30020243,,aliskiren-hemifumarate,BRD-K30020243,BRD-K30020243,aliskiren-hemifumarate,BRD-K30020243,BRD-K30020243|BRD-M18497616,aliskiren-hemifumarate,BRD-K30020243,BRD-K30020243|BRD-M18497616,aliskiren-hemifumarate
UXXQOJXBIDBUAC,BRD-K89162000,,tandutinib,BRD-K89162000,,tandutinib,BRD-K89162000,,tandutinib,BRD-K89162000,,tandutinib
UXZDMXYRRQJIBJ,BRD-K59390331,,tarafenacin,BRD-K59390331,,tarafenacin,BRD-K59390331,BRD-M06471014,tarafenacin,BRD-K00003568,,tarafenacin
UXZFQZANDVDGMM,BRD-K75855670,,iodoquinol,BRD-K75855670,,iodoquinol,BRD-K75855670,,iodoquinol,BRD-K75855670,,iodoquinol
UYBRROMMFMPJAN,BRD-K44665581,,bromosporine,BRD-K44665581,,bromosporine,BRD-K44665581,,bromosporine,BRD-K44665581,,bromosporine
UYDRRQPGDSIMNU,BRD-K49027941,,PSB-1115,BRD-K49027941,,PSB-1115,BRD-K49027941,,PSB-1115,BRD-K49027941,,PSB-1115
UYFLKEIEOREOFC,BRD-A19795905,,atovaquone,BRD-A19795905,,atovaquone,BRD-A19795905,,atovaquone,BRD-A19795905,,atovaquone
UYGONJYYUKVHDD,BRD-A79643124,,flosequinan,BRD-A79643124,,flosequinan,BRD-A79643124,,flosequinan,BRD-A79643124,,flosequinan
UYIFTLBWAOGQBI,BRD-A74765037,,estradiol-benzoate,BRD-A74765037,,estradiol-benzoate,BRD-A74765037,,estradiol-benzoate,BRD-K44412991,,estradiol-benzoate
UYJNQQDJUOUFQJ,BRD-K21025364,,NVP-TAE226,BRD-K21025364,,NVP-TAE226,BRD-K21025364,,NVP-TAE226,BRD-K21025364,,NVP-TAE226
UYJZZVDLGDDTCL,BRD-K11853856,,PJ-34,BRD-K11853856,,PJ-34,BRD-K11853856,,PJ-34,BRD-K11853856,,PJ-34
UYNVMODNBIQBMV,BRD-A24191444,,ifenprodil,BRD-A24191444,,ifenprodil,BRD-A24191444,BRD-M01603234|BRD-M20547247,ifenprodil,BRD-K00004210,,ifenprodil
UYXTWWCETRIEDR,BRD-K38969488,,tributyrin,BRD-K38969488,,tributyrin,BRD-K38969488,,tributyrin,BRD-K38969488,,tributyrin
UZDORQWMYRRLQV,BRD-K98357249,,IRL-2500,BRD-K98357249,,IRL-2500,BRD-K98357249,,IRL-2500,BRD-K98357249,,IRL-2500
UZHSEJADLWPNLE,BRD-A23195370|BRD-K67511046,,naloxone,BRD-A23195370|BRD-K67511046,,naloxone,BRD-K67511046,BRD-A23195370,naloxone,BRD-K67511046,BRD-A23195370,naloxone
UZKQTCBAMSWPJD,BRD-K90033078,,zeatin,BRD-K90033078,,zeatin,BRD-K90033078,,zeatin,BRD-K90033078,,zeatin
UZVHFVZFNXBMQJ,BRD-K71350836,,butalbital,BRD-K71350836,,butalbital,BRD-K71350836,,butalbital,BRD-K71350836,,butalbital
UZWDCWONPYILKI,BRD-K33622447,,LY2835219,BRD-K33622447,,abemaciclib,BRD-K33622447,,abemaciclib,BRD-K33622447,,abemaciclib
VAAUVRVFOQPIGI,BRD-K38010979|BRD-K96734425,,ceftriaxone,BRD-K38010979|BRD-K96734425,,ceftriaxone,BRD-K96734425,BRD-K38010979,ceftriaxone,BRD-K96734425,BRD-K38010979,ceftriaxone
VABCILAOYCMVPS,BRD-A65051990,,acenocoumarol,BRD-A65051990,,acenocoumarol,BRD-A65051990,,acenocoumarol,BRD-A65051990,,acenocoumarol
VACCAVUAMIDAGB,BRD-K31682896,,sulfamethizole,BRD-K31682896,,sulfamethizole,BRD-K31682896,,sulfamethizole,BRD-K31682896,,sulfamethizole
VADOZMZXXRBXNY,BRD-K88554883,,ON123300,BRD-K88554883,,ON123300,BRD-K88554883,,ON123300,BRD-K88554883,,ON123300
VAJGULUVTFDTAS,BRD-K04643927|BRD-K15893360,,GLPG0492|GLPG0492-R-enantiomer,BRD-K04643927|BRD-K15893360,,GLPG0492|GLPG0492-R-enantiomer,BRD-K04643927|BRD-K15893360,,GLPG0492|GLPG0492-R-enantiomer,BRD-K04643927|BRD-K15893360,,GLPG0492|GLPG0492-R-enantiomer
VAOCPAMSLUNLGC,BRD-K52020312,,metronidazole,BRD-K52020312,,metronidazole,BRD-K52020312,,metronidazole,BRD-K52020312,,metronidazole
VAPDZNUFNKUROY,BRD-K59013864,,AM-24,BRD-K59013864,,AM-24,BRD-K59013864,,AM-24,BRD-K59013864,,AM-24
VAVXGGRQQJZYBL,BRD-K47983010,,BX-795,BRD-K47983010,,BX-795,BRD-K47983010,,BX-795,BRD-K47983010,,BX-795
VAZAPHZUAVEOMC,BRD-K52313696,,tacedinaline,BRD-K52313696,,tacedinaline,BRD-K52313696,,tacedinaline,BRD-K52313696,,tacedinaline
VBHQKCBVWWUUKN,BRD-K19741547,,vernakalant,BRD-K19741547,,vernakalant,BRD-K19741547,,vernakalant,BRD-K19741547,,vernakalant
VBHVOHJOTMCSBQ,BRD-K80607346,,FK-962,BRD-K80607346,,FK-962,BRD-K80607346,,FK-962,BRD-K80607346,,FK-962
VBICKXHEKHSIBG,BRD-A31454688,,monostearin,BRD-A31454688,,monostearin,BRD-A31454688,,monostearin,BRD-A31454688,,monostearin
VBRJFXSFCYEZMQ,BRD-K27168049,,SDZ-220-581,BRD-K27168049,,SDZ-220-581,BRD-K27168049,,SDZ-220-581,BRD-K27168049,,SDZ-220-581
VCIPBXUEKWCJAU,BRD-M02075109,,chromanol-(+/-),BRD-M02075109,,chromanol-(+/-),BRD-M02075109,,chromanol-(+/-),BRD-M02075109,,chromanol-(+/-)
VCKUSRYTPJJLNI,BRD-A22256192,,terazosin,BRD-A22256192,,terazosin,BRD-A22256192,,terazosin,BRD-K01826569,,terazosin
VCPMZDWBEWTGNW,BRD-K16037980,,Z160,BRD-K16037980,,Z160,BRD-K16037980,,Z160,BRD-K16037980,,Z160
VCQGNUWOMLYNNG,BRD-K09619322,,CD-1530,BRD-K09619322,,CD-1530,BRD-K09619322,BRD-K25737009,CD-1530,BRD-K09619322,BRD-K25737009,CD-1530
VCRYFUBRFYUNTM,BRD-A45201156,,colistin-sulfate,BRD-A45201156,,colistin-sulfate,BRD-A45201156,,colistin-sulfate,,,
VCZSWYIFCKGTJI,BRD-A48376327,,igmesine,BRD-A48376327,,igmesine,BRD-A48376327,,igmesine,BRD-A48376327,,igmesine
VDANGULDQQJODZ,BRD-K86864073,,chloroprocaine,BRD-K86864073,,chloroprocaine,BRD-K86864073,,chloroprocaine,BRD-K86864073,,chloroprocaine
VDCDWNDTNSWDFJ,BRD-K18602506,,OR-486,BRD-K18602506,,OR-486,BRD-K18602506,,OR-486,BRD-K18602506,,OR-486
VDCRFBBZFHHYGT,BRD-K00091711,,RWJ-21757,BRD-K00091711,,RWJ-21757,BRD-K00091711,,RWJ-21757,BRD-K00091711,,RWJ-21757
VDDUJINYXKGZLV,BRD-A89337244,,PD-102807,BRD-A89337244,,PD-102807,BRD-A89337244,,PD-102807,BRD-A89337244,,PD-102807
VDHAWDNDOKGFTD,BRD-K73838513,,cinacalcet,BRD-K73838513,,cinacalcet,BRD-K73838513,,cinacalcet,BRD-K73838513,,cinacalcet
VDJHFHXMUKFKET,BRD-K93779381,,ingenol-mebutate,BRD-K93779381,,ingenol-mebutate,BRD-K93779381,,ingenol-mebutate,BRD-K93779381,,ingenol-mebutate
VDKBIFPJULZUPU,BRD-K17896185,,FIT,BRD-K17896185,,FIT,BRD-K17896185,,FIT,BRD-K17896185,,FIT
VDNLFJGJEQUWRB,BRD-K33623053,,rose-bengal|rose-bengal-disodium,BRD-K33623053,BRD-K36163066,rose-bengal,BRD-K33623053,BRD-K36163066,rose-bengal,BRD-K33623053,BRD-K36163066,rose-bengal
