!Source	"The Drug Repurposing Hub, Broad Institute"		
!URL	http://www.broadinstitute.org/repurposing		
!File_date	3/27/17		
!Table_name	drug information		
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.		
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER’S SOLE RISK.		
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.		
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 23 (2017)."		
!Contact	repurposing@broadinstitute.org		
pert_iname	clinical_phase	moa	target
selamectin	Launched	nematocide	
selegiline	Launched	monoamine oxidase inhibitor	MAOA|MAOB
selenomethionine	Launched		
selexipag	Phase 3	platelet aggregation inhibitor|IP1 prostacyclin receptor agonist	PTGIR
selfotel	Phase 3	glutamate receptor antagonist	GRIN2A|GRIN2B|GRIN2C|GRIN2D
selinexor	Phase 2/Phase 3	exportin antagonist	XPO1
selumetinib	Phase 3	MEK inhibitor	MAP2K1
semagacestat	Phase 3	gamma secretase inhibitor	PSEN1
semapimod	Phase 2	cytokine production inhibitor|p38 MAPK inhibitor	MAPK14
semaxanib	Phase 3	VEGFR inhibitor	FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET
semustine	Phase 3	DNA alkylating agent	
senicapoc	Phase 3	intermediate conductance potassium channel blocker	KCNN4
sennoside-a	Launched	glycoside agonist	
sennoside-protonated	Preclinical		
seocalcitol	Phase 3	vitamin D receptor agonist	VDR
SEP-227900	Phase 1	D-Amino Acid Oxidase Inhibitor	DAO
seratrodast	Launched	prostanoid receptor antagonist	TBXA2R
serdemetan	Phase 1	MDM inhibitor	MDM2
serotonin	Launched	growth factor receptor activator	DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR4|HTR5A|HTR6|HTR7|SLC36A1
sertaconazole	Launched	sterol demethylase inhibitor	
sertindole	Withdrawn	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR6|KCNH2
sertraline	Launched	selective serotonin reuptake inhibitor (SSRI)	SLC6A3|SLC6A4
sesamin	Preclinical	NFkB pathway inhibitor	
setipiprant	Phase 3	prostaglandin inhibitor	PTGDR2
setiptiline	Launched	adrenergic receptor antagonist	HRH1|HTR2A|HTR2C
sevelamer	Launched	phosphate antagonist	
sevoflurane	Launched	membrane integrity inhibitor	ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9|MT-ND1
SEW-2871	Preclinical	lysophospholipid receptor agonist	S1PR1
SGC-CBP30	Preclinical	bromodomain inhibitor	CREBBP|EP300
SGC-0946	Preclinical	histone lysine methyltransferase inhibitor	
SGI-1027	Preclinical	DNA methyltransferase inhibitor	DNMT1|DNMT3A|DNMT3B
SGI-1776	Phase 1	Pim kinase inhibitor	FLT3|PIM1|PIM2|PIM3
SGX523	Phase 1	hepatocyte growth factor receptor inhibitor	MET
shikimic-acid	Preclinical		
SIB-1553A	Phase 2	acetylcholine receptor agonist	CHRNB4
SIB-1757	Preclinical	glutamate receptor antagonist	GRM5
SIB-1893	Preclinical	glutamate receptor antagonist	GRM4|GRM5
sibutramine	Withdrawn	serotonin–norepinephrine reuptake inhibitor (SNRI)	SLC6A2|SLC6A3|SLC6A4
SID-7969543	Preclinical	steroidogenic factor antagonist	NR5A1
siguazodan	Phase 1	phosphodiesterase inhibitor	PDE3A
sildenafil	Launched	phosphodiesterase inhibitor	PDE5A|PDE6G|PDE6H|SLCO1B1|SLCO1B3
silibinin	Launched	cytochrome P450 inhibitor	ALOX5
silodosin	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D
silver-sulfadiazine	Launched	PABA antagonist	
silymarin	Launched		
simeprevir	Launched	HCV inhibitor	CYP1A2|CYP3A4
simvastatin	Launched	HMGCR inhibitor	HMGCR|ITGB2
sinefungin	Preclinical	DNA methyltransferase inhibitor|RNA synthesis inhibitor	CARM1
sinomenine	Preclinical	angiogenesis inhibitor	
sipatrigine	Phase 2	voltage-gated sodium channel blocker	CACNA1D|SCN10A|SCN1A|SCN3A|SCN4A|SCN5A|SCN9A
siponimod	Phase 3	sphingosine phosphate receptor modulator	S1PR1
siramesine	Phase 2	sigma receptor antagonist	ADRA1A|ADRA1B|ADRA1D
sirolimus	Launched	mTOR inhibitor	FGF2|FKBP1A|MTOR
sirtinol	Preclinical	SIRT inhibitor	SIRT1|SIRT2
sisomicin	Launched	protein synthesis inhibitor	
sisomicin-sulfate	Launched	bacterial 30S ribosomal subunit inhibitor	
sitafloxacin	Launched	bacterial DNA gyrase inhibitor	
sitagliptin	Launched	dipeptidyl peptidase inhibitor	DPP4
sitaxentan	Withdrawn	endothelin receptor antagonist	EDNRA
sitosterol	Preclinical		
sivelestat	Launched	elastase inhibitor	CELA1|ELANE
SJ-172550	Preclinical	MDM inhibitor	MDM4
SK&F-10047-(+)	Phase 1	sigma receptor agonist	SIGMAR1
SKA-31	Preclinical	potassium channel activator	KCNN4
skepinone-l	Preclinical	p38 MAPK inhibitor	MAPK14
SKF-38393	Preclinical	dopamine receptor agonist	CALY|DRD1|DRD5
SKF-77434	Preclinical	dopamine receptor agonist	DRD1
SKF-81297	Preclinical	dopamine receptor agonist	DRD1|DRD5
SKF-83566	Preclinical	dopamine receptor antagonist	DRD1|DRD5
SKF-86002	Preclinical	p38 MAPK inhibitor	ALOX5|MAPK14
SKF-89976A	Preclinical	GABA uptake inhibitor	SLC6A1
SKF-91488	Preclinical	histamine N-methyltransferase inhibitor	HNMT
SKF-96365	Preclinical	calcium channel blocker	CYP3A4|PKD2|TRPC1|TRPC3|TRPC4|TRPC5|TRPV2
SKI-II	Preclinical	sphingosine kinase inhibitor	SPHK1
SKLB1002	Preclinical	VEGFR inhibitor	KDR
SLV-320	Phase 2	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3
SM-108	Phase 2		
SM-164	Preclinical	XIAP inhibitor	BIRC2|BIRC3|XIAP
SM-21	Preclinical	sigma receptor antagonist	PGRMC1
SMI-4a	Preclinical	Pim kinase inhibitor	PIM1
SN-38	Launched	topoisomerase inhibitor	TOP1
SN-6	Preclinical	sodium/calcium exchange inhibitor	
SNAP	Phase 2	nitric oxide donor	PTPN1
SNAP-5089	Preclinical	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CACNA1C|CACNA1D
SNAP-94847	Preclinical		ADRA1A|DRD2
SNC-80	Preclinical		OPRD1
SNG-1153	Preclinical	selective estrogen receptor modulator (SERM)	ESR1
SNS-314	Phase 1	Aurora kinase inhibitor	AURKA|AURKB|AURKC
SNX-2112	Phase 1	HSP inhibitor	
SNX-5422	Phase 1/Phase 2	HSP inhibitor	HSP90AA1
sobetirome	Phase 1	thyroid hormone receptor agonist	THRA|THRB
sobrepin	Launched	mucolytic agent	
sodium-ascorbate	Launched		
sodium-butyrate	Phase 2	HDAC inhibitor	BCHE|FFAR2|FFAR3|HDAC1|HDAC2|HDAC3|HDAC8
sodium-danshensu	Preclinical		
sodium-dodecyl-sulfate	Preclinical		ALB|LYZ
sodium-glucoheptonate	Launched		
sodium-gluconate	Launched		
sodium-gualenate	Launched	antacid	
sodium-monofluorophosphate	Launched		PYGM
sodium-nitrite	Launched	nitric oxide donor	
sodium-nitroprusside	Launched	nitric oxide donor	
sodium-orthovanadate	Preclinical		
sodium-oxybate	Launched	benzodiazepine receptor agonist	GABRB1|HCAR1|SLC52A2
sodium-picosulfate	Launched		
sodium-salicylate	Launched	prostanoid receptor antagonist	ASIC3|PTGS1|PTGS2
sodium-stibogluconate	Launched	tyrosine phosphatase inhibitor	PTPN6|TOP1
sodium-tanshinone-ii-a-sulfonate	Phase 2	potassium channel activator	
sodium-tetradecyl-sulfate	Launched		PROC|PROS1
sofalcone	Launched	mucus protecting agent	CBR1
sofosbuvir	Launched	RNA polymerase inhibitor	
solamargine	Phase 3	apoptosis inhibitor	
solcitinib	Phase 1	JAK inhibitor	JAK1
solifenacin-succinate	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5
solithromycin	Phase 3	protein synthesis inhibitor	
somantadine	Phase 1	antiviral	
somatostatin	Launched	somatostatin receptor agonist	OPRD1|OPRM1|SSTR1|SSTR2|SSTR3|SSTR4|SSTR5
sonidegib	Launched	smoothened receptor antagonist	SMO
sophocarpine	Phase 3		
sorafenib	Launched	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET
sorbic-acid	Preclinical		
sorbinil	Phase 3	aldose reductase inhibitor	AKR1B1
sorbitan-monostearate	Preclinical		
sorbitol	Launched	mucolytic agent	
sotagliflozin	Phase 3	sodium/glucose cotransporter inhibitor	SLC5A1|SLC5A2
sotalol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|KCNH2
sotrastaurin	Phase 2	PKC inhibitor	PRKCA|PRKCB|PRKCD|PRKCE|PRKCH|PRKCQ
SP-420	Phase 1		
spaglumic-acid	Launched	glutamate receptor antagonist	GRM3
sparfloxacin	Withdrawn	bacterial DNA gyrase inhibitor	TOP2A
sparfosate	Phase 3	aspartate carbamoyltransferase inhibitor	CA2|CA4|CAD
sparteine-sulfate	Launched		
spectinomycin	Launched	bacterial 30S ribosomal subunit inhibitor	
spermidine	Preclinical	glutamate receptor modulator	KCNJ4|TXNRD1
spermine	Preclinical		CA14|CA4|CA6|CA9|CASR|GRIN1|GRIN2A|KCNJ4|ODC1|SMOX|SMS|TRPM4|TRPM5
sphingosylphosphorylcholine	Preclinical	gene expression stimulant	GPR12
spiperone	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|ADRA1D|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1D|HTR2A|HTR2B|HTR2C|HTR6|HTR7
spiradoline	Phase 2	opioid receptor agonist	OPRK1
spiramycin	Launched	bacterial 50S ribosomal subunit inhibitor	
spirobromin	Phase 1		
spironolactone	Launched	mineralocorticoid receptor antagonist	AR|CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CYP11B2|NR3C1|NR3C2|PGR|SHBG
spiroxatrine	Preclinical	serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|HTR1A|HTR2B
spizofurone	Withdrawn		
splitomycin	Preclinical	SIRT inhibitor	SIRT1
SPP301	Phase 3	endothelin receptor antagonist	EDNRA
SQ-109	Phase 3	bacterial cell wall synthesis inhibitor	FDFT1
SQ-22536	Preclinical	adenylyl cyclase inhibitor	ADCY1
SR-11302	Preclinical		
SR-2640	Phase 2	leukotriene receptor antagonist	CYSLTR1
SR-27897	Phase 2	CCK receptor antagonist	CCKAR
SR-3306	Preclinical	JNK inhibitor	MAPK10|MAPK8|MAPK9
SR-33805	Phase 1	calcium channel blocker	
SR-57227A	Phase 2	serotonin receptor agonist	HTR3A
SR-59230A	Preclinical	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3
SR-95639A	Preclinical	acetylcholine receptor agonist	CHRM1
SRC-kinase-inhibitor-I	Preclinical	src inhibitor	CSK|LCK|RIPK2
SRPIN340	Preclinical	serine arginine protein kinase inhibitor	SRPK1|SRPK2
SRT1720	Preclinical	SIRT activator	SIRT1
SRT2104	Phase 2	SIRT activator	SIRT1
SSR128129E	Preclinical		
ST-1859	Phase 1	antiamyloidogenic agent	
ST-2825	Preclinical	myeloid differentiation primary response inhibitor	MYD88
ST-91	Preclinical	adrenergic receptor agonist	
STA-5326	Phase 2	interleukin synthesis inhibitor	IL12A
stanozolol	Launched	androgen receptor agonist	AR
stattic	Preclinical		
STAT3-inhibitor-VI	Preclinical	STAT inhibitor	STAT3
stavudine	Launched	DNA directed DNA polymerase inhibitor|nucleoside reverse transcriptase inhibitor	
stemregenin-1	Preclinical	aryl hydrocarbon receptor antagonist	AHR
stepronin	Launched	mucolytic agent	
stetaderm	Launched		
STF-083010	Preclinical	serine/threonine kinase inhibitor	ERN1
STF-118804	Preclinical	NAMPT inhibitor	NAMPT
STF-62247	Preclinical	autophagy inducer	
stigmasterol	Preclinical		
stiripentol	Launched	GABA uptake inhibitor	GABRA3
stobadine	Phase 2	adrenergic receptor antagonist	ADRA1A
streptomycin	Launched	bacterial 30S ribosomal subunit inhibitor	
streptozotocin	Launched	DNA alkylating agent	SLC2A2
strontium-ranelate	Launched	bone formation stimulant|bone resorption inhibitor	CASR
strychnine	Preclinical	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|CHRNA10|CHRNA9|GLRA1|GLRA2|GLRA3|GLRB
SU-11274	Preclinical	hepatocyte growth factor receptor inhibitor|tyrosine kinase inhibitor	MET
SU-4312	Preclinical	PDGFR tyrosine kinase receptor inhibitor|tyrosine kinase inhibitor|VEGFR inhibitor	KDR|PDGFRB
substance-p	Phase 1	neurokinin receptor antagonist	TACR1|TACR2|TACR3
succinic-acid	Launched		ALDH5A1|ASPH|BBOX1|HSD17B6|OXCT1|OXCT2|P3H1|P3H2|P3H3|P4HA1|P4HA2|PLOD1|PLOD3|SDHA|SDHB|SDHC|SDHD|SLC13A1|SLC13A2|SLC13A3|SLC25A10|SUCLA2|SUCLG1|SUCLG2|SUCNR1|TMLHE
succinylcholine-chloride	Launched		CHRFAM7A|CHRM1|CHRM2|CHRM3|CHRNA1|CHRNA10
succinylsulfathiazole	Phase 2	dihydrofolate reductase inhibitor	DHFR
sucralfate	Launched	antacid	EGF|FGA|FGB|FGF2|FGG
sucralose	Launched		
sucrose	Launched		ACTA1|ATOX1|C22orf28|LYZ
sucrose-octaacetate	Preclinical		
sudan-iv	Preclinical		
sufentanil	Launched	opioid receptor modulator	OPRD1|OPRK1|OPRM1
sulbactam	Launched	beta lactamase inhibitor	
sulbactam-pivoxil	Launched	beta lactamase inhibitor	
sulbentine	Preclinical	other antifungal	
sulbutiamine	Launched	acetylcholine receptor antagonist	
sulconazole	Launched	sterol demethylase inhibitor	
sulfabenzamide	Launched	bacterial antifolate	
sulfacarbamide	Withdrawn		
sulfacetamide	Launched	PABA antagonist	
sulfachlorpyridazine	Launched	bacterial antifolate	
sulfadiazine	Launched	bacterial antifolate	
sulfadoxine	Launched	dihydropteroate synthase inhibitor	
sulfafurazole	Launched	bacterial antifolate	
sulfaguanidine	Launched	bacterial antifolate	
sulfamerazine	Launched	bacterial antifolate	
sulfameter	Launched	dihydrofolate reductase inhibitor	DHFR
sulfamethazine	Launched	PABA antagonist	
sulfamethizole	Launched	bacterial antifolate	
sulfamethoxazole	Launched	PABA antagonist	
sulfamethoxypyridazine	Withdrawn	bacterial antifolate	
sulfametopyrazine	Launched	PABA antagonist	
sulfamonomethoxine	Launched	bacterial antifolate	
sulfamoxole	Launched	PABA antagonist	
sulfanilamide	Launched	carbonic anhydrase inhibitor	CYP2C19|CYP2C9|CYP2D6|CYP2E1|CYP3A4
sulfanilate-zinc	Preclinical		
sulfanitran	Launched		
sulfaphenazole	Launched	dihydropteroate synthetase inhibitor	DHPS
sulfapyridine	Launched	PABA antagonist	
sulfaquinoxaline	Launched	vitamin K antagonist	
sulfasalazine	Launched	cyclooxygenase inhibitor	ACAT1|ALOX5|CHUK|IKBKB|PLA2G1B|PPARG|PTGS1|PTGS2|SLC46A1|SLC7A11|TBXAS1
sulfathiazole	Launched	dihydropteroate synthase inhibitor	
sulfinpyrazone	Launched	uricosuric blocker	ABCC1|ABCC2|FPR1|SLC22A12
sulfisoxazole-acetyl	Launched	folic acid antagonist	
sulforaphane	Phase 2	anticancer agent|aryl hydrocarbon receptor antagonist	NFE2L2
sulindac	Launched	cyclooxygenase inhibitor	AKR1B1|MAPK3|PPARD|PTGDR2|PTGS1|PTGS2
sulisobenzone	Launched		
sulmazole	Phase 1	adenosine receptor antagonist	
sulmetozine	Launched	gastrin inhibitor	GAST
suloctidil	Withdrawn	adrenergic receptor antagonist	
sulphadimethoxine	Launched	dihydropteroate synthetase inhibitor	
sulpiride	Launched	dopamine receptor antagonist	
sumanirole	Phase 3	dopamine receptor agonist	DRD2
sumatriptan	Launched	serotonin receptor agonist	HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR5A|HTR6|HTR7
SUN-B-8155	Preclinical	calcitonin agonist	CALCR
sunitinib	Launched	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	
suplatast	Launched	histamine release inhibitor|immunoglobulin inhibitor	
suprofen	Withdrawn	cyclooxygenase inhibitor	PTGS1|PTGS2
suramin	Launched	DNA synthesis inhibitor	F2|FSHR|P2RY1|P2RY11|P2RY13|P2RY2|PLA2G2A|RYR1|RYR2|SIRT5
suritozole	Phase 2	GABA receptor inverse agonist	GABBR1
sutezolid	Phase 2	protein synthesis inhibitor	
suvorexant	Launched	orexin receptor antagonist	HCRTR1|HCRTR2
suxibuzone	Launched	cyclooxygenase inhibitor	
SU014813	Phase 2	PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	KDR
SU3327	Preclinical	JNK inhibitor	MAPK8
SU9516	Preclinical	CDK inhibitor	CDK1|CDK2|CDK4|CDK5
swainsonine	Phase 2	alpha mannosidase inhibitor	MAN2A1
SX-011	Preclinical	MAP kinase inhibitor	MAPK14
SYM-2081	Preclinical	kainate receptor antagonist	GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|SLC1A2
SYM-2206	Preclinical	glutamate receptor antagonist	GRIA1|GRIA2|GRIA3|GRIA4
symclosene	Preclinical		
synephrine	Launched	adrenergic receptor agonist	ADRA1A
S1P1-agonist-III	Preclinical	sphingosine kinase inhibitor	S1PR1
S18986	Phase 2	glutamate receptor modulator	GRIA1|GRIA2|GRIA3|GRIA4
S26948	Preclinical	PPAR receptor agonist	PPARG
T-0070907	Preclinical	PPAR receptor antagonist	PPARG
T-0156	Preclinical	phosphodiesterase inhibitor	PDE5A
T-0901317	Preclinical	LXR agonist	NCOA1|NCOA2|NR1H2|NR1H3|NR1I2|RXRB
T-5224	Phase 2	AP inhibitor	JUN
T-62	Phase 2	adenosine receptor modulator	ADORA2A
TA-01	Preclinical	casein kinase inhibitor|MAP kinase inhibitor	CSNK1D|CSNK1E|MAPK14
tabimorelin	Phase 2	growth hormone secretagogue receptor agonist	GHSR
tacalcitol	Launched	vitamin D receptor agonist	VDR
tacedinaline	Phase 3	HDAC inhibitor	HDAC1
tacrine	Launched	acetylcholinesterase inhibitor	ACHE|BCHE
tacrolimus	Launched	calcineurin inhibitor	FKBP1A
tadalafil	Launched	phosphodiesterase inhibitor	PDE11A|PDE5A
tafamidis-meglumine	Launched	transthyretin amyloid inhibitor	TTR
tafenoquine	Phase 3	antimalarial agent	
tagatose	Phase 3	phosphorylase inhibitor	PYGL
TAK-063	Phase 2	phosphodiesterase inhibitor	PDE10A
TAK-220	Phase 1	CC chemokine receptor antagonist	CCR5
TAK-285	Phase 1	EGFR inhibitor	ERBB2
TAK-593	Phase 1	VEGFR inhibitor	PDGFRA
TAK-632	Preclinical	RAF inhibitor	BRAF
TAK-715	Phase 2	p38 MAPK inhibitor	MAPK14
TAK-733	Phase 1	MEK inhibitor	MAP2K1
TAK-875	Phase 3	insulin secretagogue	FFAR1
TAK-901	Phase 1	Aurora kinase inhibitor	AURKB
TAK-960	Phase 1	PLK inhibitor	PLK1
talabostat	Phase 3	dipeptidyl peptidase inhibitor|fibroblast activation protein inhibitor	DPP4
taladegib	Phase 2	smoothened receptor antagonist	DHH|IHH|SMO
talampanel	Phase 2	glutamate receptor antagonist	GRIA1|GRIA2|GRIA3|GRIA4
talarozole	Phase 2	cytochrome P450 inhibitor	CYP26A1
talazoparib	Phase 3	PARP inhibitor	PARP2
talc	Launched		
talinolol	Launched	adrenergic receptor antagonist	ADRB1
talipexole	Launched	adrenergic receptor agonist|dopamine receptor agonist	ADRA2A|DRD2|HTR3A
talmapimod	Phase 2	p38 MAPK inhibitor	MAPK11|MAPK14
talnetant	Phase 2	tachykinin antagonist	TACR2|TACR3
talniflumate	Launched	cyclooxygenase inhibitor	CLCA1
taltirelin	Launched	thyrotropin releasing hormone receptor agonist	TRHR
taltobulin	Phase 1	tubulin polymerization inhibitor	
TAME	Preclinical		
tamibarotene	Launched	retinoid receptor agonist	RARA|RARB
tamoxifen	Launched	estrogen receptor antagonist|selective estrogen receptor modulator (SERM)	EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ
tamsulosin	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D
tanaproget	Phase 2	progesterone receptor agonist	PGR
tandospirone	Launched	serotonin receptor agonist	HTR1A
tandutinib	Phase 2	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor	CSF1R|FLT3|KIT|PDGFD|PDGFRB
tanespimycin	Phase 3	HSP inhibitor	HSP90AA1
tangeritin	Preclinical	cell cycle inhibitor	
tannic-acid	Launched	PARG inhibitor	ANO1
tanshinone-i	Phase 2	AP inhibitor	IFNG
tanshinone-iia	Phase 2/Phase 3	anti-inflammatory agent|interleukin inhibitor	IL1B|NR1I2|TNF
tapentadol	Launched	opioid receptor agonist	HTR3A|OPRD1|OPRK1|OPRM1|SLC6A2|SLC6A4
taprenepag	Phase 2	prostaglandin receptor agonist	PTGER2
tarafenacin	Phase 2	acetylcholine receptor antagonist	CHRM3
taranabant	Phase 3	cannabinoid receptor inverse agonist	CNR1
targinine	Phase 3	nitric oxide synthase inhibitor	NOS3
tariquidar	Phase 3	P glycoprotein inhibitor	ABCB1
tartaric-acid	Launched	antioxidant	ATP6V1C1|B3GAT1|DDX6|HIF1AN|TREM1
TAS-103	Phase 1	topoisomerase inhibitor	TOP1
taselisib	Phase 3	PI3K inhibitor	PIK3CA
tasimelteon	Launched	melatonin receptor agonist	MTNR1A|MTNR1B
tasisulam	Phase 3	apoptosis stimulant	
tasquinimod	Phase 3	angiogenesis inhibitor|S100A9 inhibitor	HDAC4
tasuldine	Phase 3	mucolytic agent	
taurine	Launched	antioxidant	
taurocholate	Phase 1	G protein-coupled receptor agonist	CEL|FABP6|SLCO1C1
taurolidine	Launched	apoptosis stimulant	
tavaborole	Launched	leucyl-tRNA synthetase inhibitor	
taxifolin	Phase 2	opioid receptor antagonist	ADIPOR2
tazarotene	Launched	retinoid receptor agonist	RARA|RARB|RARG|RXRB
tazemetostat	Phase 2	histone lysine methyltransferase inhibitor	EZH2
tazobactam	Launched	beta lactamase inhibitor	
TBA-354	Phase 1		
TBOA-(DL)	Preclinical	excitatory amino acid transporter inhibitor	SLC1A1|SLC1A2|SLC1A3|SLC1A6|SLC1A7
TCID	Preclinical		
TCN201	Preclinical	glutamate receptor antagonist	GRIN2A
TCS-359	Preclinical	FLT3 inhibitor	FLT3
TCS2002	Preclinical	glycogen synthase kinase inhibitor	GSK3B
TC1	Preclinical	beta-secretase inhibitor	BACE1
TC2559	Preclinical	acetylcholine receptor agonist	CHRNA4
tebipenem	Launched	bacterial cell wall synthesis inhibitor	CNR1
tecalcet	Phase 2	calcium-sensing receptor agonist	CASR
tecastemizole	Phase 3	histamine receptor antagonist	KCNH2
tecovirimat	Phase 3	orthopoxvirus egress inhibitor	
tedizolid	Launched	bacterial 50S ribosomal subunit inhibitor	
tedizolid-phosphate	Launched	protein synthesis inhibitor	
tegaserod	Withdrawn	serotonin receptor partial agonist	HTR2A|HTR2B|HTR2C|HTR4
tegobuvir	Phase 3	HCV inhibitor|protease inhibitor	
teicoplanin	Launched	bacterial cell wall synthesis inhibitor	
teicoplanin-A2-1	Launched	bacterial cell wall synthesis inhibitor	
teicoplanin-a2-3	Launched	bacterial cell wall synthesis inhibitor	
telaprevir	Launched	HCV inhibitor	CTSA|PGR
telatinib	Phase 2	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	KDR
telbivudine	Launched	DNA polymerase inhibitor	TK2
telcagepant	Phase 3	calcitonin antagonist	CALCRL|RAMP1
telenzepine	Phase 3	acetylcholine receptor antagonist	CHRM1
telithromycin	Launched	bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor	CYP1A2|CYP2D6|CYP3A4|CYP3A5|CYP3A7
telmesteine	Launched	mucolytic agent	
telmisartan	Launched	angiotensin receptor antagonist	AGTR1|PPARG
telotristat	Phase 3	serotonin receptor antagonist|serotonin release inhibitor	TPH1
temazepam	Withdrawn	benzodiazepine receptor agonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GABRR1|GABRR2|GABRR3|TSPO
temefos	Launched	cholinesterase inhibitor	
temocapril	Launched	angiotensin converting enzyme inhibitor	ACE
temoporfin	Launched	radical formation stimulant	
temozolomide	Launched	DNA alkylating agent	MGMT
tempol	Phase 2	free radical scavenger	
temsirolimus	Launched	mTOR inhibitor	MTOR
tenatoprazole	Phase 2	ATPase inhibitor	IDO1
teneligliptin	Launched	dipeptidyl peptidase inhibitor	DPP4
tenidap	Phase 3	cyclooxygenase inhibitor	KCNJ4|PTGS1
tenilsetam	Phase 3	AGE inhibitor	
teniposide	Launched	topoisomerase inhibitor	TOP2A|TOP2B
tenofovir	Launched	HIV integrase inhibitor|nucleoside reverse transcriptase inhibitor	
tenofovir-alafenamide	Preclinical	nucleoside reverse transcriptase inhibitor	
tenofovir-disoproxil	Launched	nucleoside reverse transcriptase inhibitor	CYP1A2
tenovin-1	Preclinical	SIRT inhibitor|TP53 activator	SIRT1
tenovin-6	Preclinical	SIRT inhibitor	SIRT1|SIRT2|SIRT3
tenoxicam	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2
tenylidone	Preclinical		
tepoxalin	Launched	cyclooxygenase inhibitor|lipoxygenase inhibitor	ALOX5
TEPP-46	Preclinical	pyruvate kinase isozyme activator	PKM
teprenone	Launched	mucus protecting agent	
terameprocol	Phase 1/Phase 2	lipoxygenase inhibitor	BIRC5|CDK1
terazosin	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|KCNH2|KCNH6|KCNH7
terbinafine	Launched	fungal squalene epoxidase inhibitor	SQLE
terbutaline	Launched	adrenergic receptor agonist	ADRB2
terciprazine	Phase 1		
terconazole	Launched	sterol demethylase inhibitor	
terfenadine	Withdrawn	histamine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|KCNH1|KCNH2
terguride	Launched	dopamine receptor agonist|serotonin receptor antagonist	ADRA1A|ADRA2A|ADRA2B|ADRA2C|DRD2|DRD3|DRD4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C
