!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	3/24/2020				
!Table_name	drug information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
tolfenamic-acid	Launched	cyclooxygenase inhibitor|prostanoid receptor antagonist		neurology/psychiatry	migraine headache
tolimidone	Phase 2	SRC activator	LYN|SRC		
tolmetin	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	rheumatology	rheumatoid arthritis|osteoarthritis
tolnaftate	Launched	fungal squalene epoxidase inhibitor		infectious disease	tinea pedis|tinea corporis
tolonidine	Launched	adrenergic receptor antagonist	ADRA2A		
tolonium	Launched			hematology	methemoglobinemia
toloxatone	Launched	monoamine oxidase inhibitor	MAOA|MAOB	neurology/psychiatry	depression
tolperisone	Launched	voltage-gated sodium channel blocker	CYP2C19|CYP2D6	neurology/psychiatry|infectious disease|rheumatology|cardiology	muscle relaxant|multiple sclerosis|encephalomyelitis|ankylosing spondylitis|atherosclerosis|Raynaud's disease
tolrestat	Withdrawn	aldose reductase inhibitor	AKR1A1|AKR1B1|AKR1B10		
tolterodine	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	urology	urinary incontinence|urinary frequency
toltrazuril	Launched	antiprotozoal agent		infectious disease	coccidiosis
tolvaptan	Launched	vasopressin receptor antagonist	AVPR1A|AVPR2	endocrinology|cardiology|gastroenterology	hyponatremia|congestive heart failure|hepatic cirrhosis
tomeglovir	Preclinical	antiviral			
tomelukast	Phase 3	leukotriene receptor antagonist	CYSLTR1		
tomivosertib	Phase 2	MAPK-interacting kinase inhibitor			
tonabersat	Phase 2	gap junction modulator|nitric oxide production inhibitor			
topilutamide	Preclinical	androgen receptor antagonist			
topiramate	Launched	carbonic anhydrase inhibitor|glutamate receptor antagonist|kainate receptor antagonist	CA1|CA12|CA2|CA4|CA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA1|GRIA2|GRIA3|GRIA4|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	epilepsy|migraine headache
topiroxostat	Launched	xanthine oxidase inhibitor	XDH	rheumatology|nephrology	gout|hyperuricemia
topotecan	Launched	topoisomerase inhibitor	TOP1|TOP1MT	oncology	small cell lung cancer|cervical cancer
torasemide	Launched	electrolyte reabsorption inhibitor|thromboxane receptor antagonist	SLC12A1	cardiology	edema|congestive heart failure|hypertension
torcetrapib	Phase 3	cholesteryl ester transfer protein inhibitor	CETP		
torcitabine	Phase 2	DNA polymerase inhibitor	DCK|TK2		
toremifene	Launched	estrogen receptor antagonist|selective estrogen receptor modulator (SERM)	ESR1	oncology	breast cancer
torin-1	Preclinical	mTOR inhibitor	MTOR		
torin-2	Preclinical	mTOR inhibitor	MTOR		
tosedostat	Phase 2	peptidase inhibitor	ANPEP|LAP3|NPEPPS		
tosufloxacin	Launched	bacterial DNA gyrase inhibitor		infectious disease	gram-negative bacterial infections
toyocamycin	Phase 1	serine/threonine kinase inhibitor	ERN1		
tozadenant	Phase 3	adenosine receptor antagonist	ADORA2A		
tozasertib	Phase 2	Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor	AURKA|AURKB|AURKC|LCK		
TP-003	Preclinical	GABA receptor inverse agonist	GABRA1|GABRA2|GABRA3|GABRA5		
TP-0903	Phase 1/Phase 2	AXL kinase inhibitor	AXL		
TP-3654	Phase 1	"1,4,5-trisphosphate inhibitor"			
TPCA-1	Preclinical	IKK inhibitor	IKBKB		
TPPS4	Phase 1				
trabectedin	Phase 3	antitumor agent			
trabodenoson	Phase 3	adenosine receptor agonist			
tracazolate	Phase 2	GABA receptor modulator	GABRA1		
tradipitant	Phase 3	neurokinin receptor antagonist			
TRAM-34	Preclinical	potassium channel antagonist	KCNN4		
TRAM-39	Preclinical	calcium-activated potassium channel activator	KCNN4		
trametinib	Launched	MEK inhibitor	MAP2K1|MAP2K2	oncology	melanoma
tramiprosate	Phase 3	beta amyloid protein neurotoxicity inhibitor	APP		
trandolapril	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension|myocardial infarction
tranexamic-acid	Launched	antifibrinolytic|plasminogen activator inhibitor	PLG	hematology	hemophilia
tranilast	Launched	angiogenesis inhibitor	HPGDS|HRH1	pulmonary	asthma
"trans-10,cis-12-conjugated-linoleic-acid"	Launched				
trans-2-undecenoic-acid	Preclinical				
"trans-4-[8-(3-fluorophenyl)-1,7-naphthyridin-6-yl]cyclohexanecarboxylic-acid"	Preclinical				
trans-4-hydroxycrotonic-acid	Preclinical	gamma hydroxybutyric acid ligand			
trans-4-methoxycinnamic-acid	Preclinical				
transcrocetinate	Preclinical	glutamate receptor antagonist			
tranylcypromine	Launched	monoamine oxidase inhibitor	KDM1A|MAOA|MAOB	neurology/psychiatry	depression
trap-101	Preclinical	nociceptin/orphanin FQ receptor antagonist|opioid receptor antagonist	OPRL1		
trapidil	Launched	PDGFR tyrosine kinase receptor inhibitor	PDGFRA	cardiology	coronary artery disease (CAD)
travoprost	Launched	prostanoid receptor agonist	PTGFR	ophthalmology	ocular hypertension|glaucoma
traxoprodil	Phase 2	glutamate receptor antagonist	GRIN2B		
trazodone	Launched	adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor	ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|SLC6A4	neurology/psychiatry	depression
trebenzomine	Phase 2				
trelagliptin	Launched	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus
tremorine	Preclinical	acetylcholine receptor agonist			
treosulfan	Launched	DNA synthesis inhibitor		oncology	ovarian cancer
trepibutone	Launched	cholinergic receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4	gastroenterology	irritable bowel syndrome
treprostinil	Launched	prostanoid receptor agonist	P2RY12|PPARD|PTGIR	pulmonary	pulmonary arterial hypertension (PAH)
trequinsin	Phase 1	phosphodiesterase inhibitor	PDE5A		
tretazicar	Phase 2	DNA replication inhibitor	NQO2		
tretinoin	Launched	retinoid receptor agonist|retinoid receptor ligand	ALDH1A1|ALDH1A2|GPRC5A|NR0B1|NR2C2|PPARD|RARA|RARB|RARG|RARRES1|RORB|RORC|RXRB|RXRG	hematologic malignancy	acute promyelocytic leukemia (APL)
triacetin	Launched				
triamcinolone	Launched	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses
triamcinolone-acetonide	Launched	glucocorticoid receptor agonist|immunosuppressant	NR3C1|SERPINA6	dermatology	corticosteroid-responsive dermatoses
triamcinolone-hexacetonide	Launched	anti-inflammatory agent			
triamterene	Launched	sodium channel blocker	SCNN1A|SCNN1B|SCNN1D|SCNN1G	endocrinology|cardiology	hypokalemia|hypertension|edema
triapine	Phase 2	ribonucleotide reductase inhibitor	RRM1|RRM2		
tribenoside	Launched	anti-inflammatory agent|capillary stabilizing agent			
tribomsalan	Preclinical				
tribromoethanol	Preclinical	analgesic agent			
tributyrin	Phase 1	HDAC inhibitor			
tricaprylin	Launched			dermatology	cosmetic
trichlormethiazide	Launched	chloride channel blocker	PTGS1|PTGS2|SLC12A1	cardiology	hypertension|edema
trichloroacetic-acid	Launched			dermatology	warts
trichloroethylene	Preclinical				
trichostatin-a	Phase 1	HDAC inhibitor	HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9		
triciribine	Phase 1/Phase 2	AKT inhibitor	AKT1|AKT2|AKT3		
triciribine-phosphate	Phase 1/Phase 2	AKT inhibitor			
triclabendazole	Launched	microtubule inhibitor	DNMT1	infectious disease	tapeworm
triclocarban	Launched	other antibiotic		infectious disease	first-aid antiseptic
triclosan	Launched	antibacterial agent	DNMT1	infectious disease	first-aid antiseptic
tridihexethyl	Launched	acetylcholine receptor antagonist		gastroenterology|ophthalmology	peptic ulcer disease (PUD)|nystagmus
trientine	Launched	chelating agent	CA14	metabolism	Wilson's disease
trifloxystrobin	Preclinical	mitochondrial electron transport inhibitor			
trifluoperazine	Launched	dopamine receptor antagonist	ADRA1A|CALM1|CALY|DRD2|DRD4|HRH1|HTR2A|HTR2C|S100A4|TNNC1	neurology/psychiatry	schizophrenia
triflupromazine	Launched	dopamine receptor antagonist	CHRM1|CHRM2|DRD1|DRD2|HTR2B	neurology/psychiatry|gastroenterology	psychosis|nausea|vomiting
trifluridine	Launched	DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor	TYMS	infectious disease	virus herpes simplex (HSV)
triflusal	Launched	cyclooxygenase inhibitor|platelet aggregation inhibitor|thromboxane synthase inhibitor	NFKB1|NOS2|PDE10A|PTGS1	neurology/psychiatry|cardiology	stroke|myocardial infarction|atrial fibrillation (AF)
trigonelline	Phase 1				
trihexyphenidyl	Launched	acetylcholine receptor antagonist	CHRM1	neurology/psychiatry	parkinsonism
trilaciclib	Phase 2	CDK inhibitor			
trilostane	Launched	3beta-hydroxy-delta5-steroid dehydrogenase inhibitor		endocrinology	Cushing's syndrome
TRIM	Preclinical				
trimebutine	Launched	opioid receptor agonist	OPRD1|OPRK1|OPRM1	gastroenterology	irritable bowel syndrome
trimetazidine	Launched	3-ketoacyl CoA thiolase inhibitor	ACAA2	cardiology	angina pectoris
trimethadione	Launched	oxazolidine antiepileptic	CACNA1G|CACNA1H|CACNA1I	neurology/psychiatry	seizures
trimethobenzamide	Launched	histamine receptor antagonist	DRD2	gastroenterology	vomiting|nausea|gastroenteritis
trimethoprim	Launched	dihydrofolate reductase inhibitor	DHFR|TYMS	infectious disease|gastroenterology	urinary tract infections|ear infections|diarrhea
trimethoquinol	Launched	adrenergic receptor antagonist	ADRB2|ADRB3	pulmonary	asthma
trimethylolpropane-triacrylate	Preclinical				
trimetozine	Launched	sedative		neurology/psychiatry	sedative
trimetrexate	Phase 3	dihydrofolate reductase inhibitor	DHFR		
trimipramine	Launched	norepinephrine reputake inhibitor|tricyclic antidepressant	SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	depression
trioxsalen	Launched	DNA synthesis inhibitor		dermatology	vitiligo|eczema
tripelennamine	Launched	histamine receptor antagonist	HRH1	pulmonary|allergy	asthma|allergic rhinitis|urticaria
triprolidine	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis
triptan	Phase 1	serotonin receptor agonist	HTR1B|HTR1D		
triptolide	Phase 3	RNA polymerase inhibitor	RELA		
triptorelin	Launched	gonadotropin releasing factor hormone receptor agonist	GNRHR	oncology|endocrinology|obstetrics/gynecology	prostate cancer|breast cancer|precocious puberty|endometriosis|myoma|gender dysphoria
troclosene	Launched				
trodusquemine	Phase 1	tyrosine phosphatase inhibitor			
trofinetide	Phase 2	cytokine production inhibitor	IFNG|IL6|TNF		
trofosfamide	Launched	DNA alkylating agent		oncology	medulloblastoma
troglitazone	Withdrawn	insulin sensitizer|PPAR receptor agonist	CYP2C8|PPARG|TRPM3		
troleandomycin	Launched	protein synthesis inhibitor		infectious disease|pulmonary|otolaryngology	pneumonia|bronchitis|tonsillitis|sinusitis
trolox	Launched	antioxidant			
tromaril	Launched	prostanoid receptor antagonist		ophthalmology	eye inflammation
trometamol	Launched		AMD1|CANT1|DCN|NEIL1|VEGFA		
"tropanyl-3,5-dimethylbenzoate"	Preclinical	serotonin receptor antagonist	HTR3A|HTR3B		
tropesin	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2		
tropicamide	Launched	acetylcholine receptor antagonist	CHRM3|CHRM4	ophthalmology	mydriasis diagnostic|cycloplegia diagnostic
tropifexor	Phase 2	FXR agonist			
tropisetron	Launched	serotonin receptor antagonist	GLRA1|GLRA2|GLRB|HTR3A|HTR4	gastroenterology	nausea|vomiting
trospium	Launched	acetylcholine receptor antagonist	CHRM1	urology	urinary incontinence|urinary frequency
trovafloxacin	Withdrawn	bacterial DNA gyrase inhibitor	TOP2A		
troventol	Phase 1				
trovirdine	Phase 1	non-nucleoside reverse transcriptase inhibitor			
troxerutin	Launched	antioxidant			
troxipide	Launched	glucosamine synthetase stimulant		gastroenterology	gastroesophageal reflux disease (GERD)
TRV130	Phase 3	opioid receptor agonist	OPRM1		
tryptanthrin	Preclinical	cyclooxygenase inhibitor	IDO1		
tryptophan	Launched	serotonin receptor partial agonist	CASR|IDO1|SLC36A1|WARS|WARS2	neurology/psychiatry|gastroenterology	anxiety|bloating|constipation|fatigue|sleeplessness
TS-011	Preclinical	delayed vasospasm antagonist			
TTNPB	Phase 1	retinoid receptor agonist	RARA|RARB|RARG		
TTP-22	Preclinical	casein kinase inhibitor	CSNK2A1		
TU-2100	Phase 2				
tuaminoheptane	Launched			otolaryngology	nasal congestion
tubastatin-A	Preclinical	HDAC inhibitor	HDAC6		
tubocurarine	Launched	acetylcholine receptor antagonist	ACHE|CHRNA2|HTR3A|HTR3B|KCNN1|KCNN2|KCNN3|ZACN	neurology/psychiatry	anesthetic
tucatinib	Phase 3	EGFR inhibitor	ERBB2		
tucidinostat	Phase 3	HDAC inhibitor			
tuftsin	Preclinical	macrophage activator			
TUG-770	Preclinical	free fatty acid receptor agonist	FFAR1		
TUG-891	Preclinical	free fatty acid receptor agonist	FFAR4		
tulobuterol	Launched	adrenergic receptor agonist	ADRB2	pulmonary	asthma
tulrampator	Phase 2	antidepressant 			
TW-37	Preclinical	BCL inhibitor	BCL2|BCL2L1|MCL1		
TWS-119	Preclinical	glycogen synthase kinase inhibitor	GSK3B|JUN|MYC		
TXA127	Phase 2	angiotensin receptor agonist			
TY-52156	Preclinical	sphingosine 1-phosphate receptor antagonist	S1PR3		
tylosin	Launched	protein synthesis inhibitor		infectious disease|gastroenterology	gram-positive bacterial infections|colitis
tymazoline	Launched			allergy	allergic rhinitis
tyrphostin-AG-1296	Preclinical	FLT3 inhibitor	FLT3		
tyrphostin-AG-1478	Preclinical	EGFR inhibitor	EGFR|MAPK14		
tyrphostin-AG-18	Preclinical	EGFR inhibitor|tyrosine kinase inhibitor	EGFR		
tyrphostin-AG-494	Preclinical	EGFR inhibitor	EGFR		
tyrphostin-AG-825	Preclinical	protein tyrosine kinase inhibitor	ERBB2		
tyrphostin-AG-835	Preclinical	protein tyrosine kinase inhibitor	EGFR		
tyrphostin-AG-879	Preclinical	tyrosine kinase inhibitor	ERBB2|KDR|NTRK1		
tyrphostin-AG-99	Preclinical	tyrosine kinase inhibitor	EGFR		
tyrphostin-A9	Preclinical	protein tyrosine kinase inhibitor|tyrosine kinase inhibitor			
U-0124	Preclinical	MEK inhibitor			
U-0126	Preclinical	MEK inhibitor	AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAP2K2|MAP2K7|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1		
U-0521	Preclinical	catechol O methyltransferase inhibitor	COMT		
U-104	Phase 1/Phase 2	carbonic anhydrase inhibitor	CA1|CA12|CA2|CA9		
U-18666A	Preclinical	oxidosqualene cyclase inhibitor			
U-50488-(-)	Preclinical	opioid receptor agonist	OPRK1		
U-54494A	Preclinical	opioid receptor agonist	OPRK1		
U-75799E	Phase 1	growth hormone releasing factor agonist	GHSR		
U-99194	Preclinical	dopamine receptor antagonist	DRD3		
UAMC-00039	Preclinical	dipeptidyl peptidase inhibitor	DPP4|DPP7		
UB-165	Preclinical	acetylcholine receptor agonist	CHRNA3|CHRNA4|CHRNB2		
ubenimex	Launched	leukotriene synthesis inhibitor	LTA4H|RNPEP	hematologic malignancy	acute myeloid leukemia (AML)
UBP-296	Preclinical	glutamate receptor antagonist	GRIK1		
UBP-302	Preclinical	glutamate receptor antagonist	GRIK1		
UBP-310	Preclinical	glutamate receptor antagonist	GRIK1|GRIK5		
UC-112	Preclinical	XIAP inhibitor	XIAP		
UCL-2077	Preclinical	slow afterhyperpolarization channel blocker			
udenafil	Launched	phosphodiesterase inhibitor		urology	erectile dysfunction
UF-010	Preclinical	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC8		
ufenamate	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	dermatology	eczema|dermatitis
UH-232-(+)	Preclinical	dopamine receptor antagonist	DRD2|DRD3|DRD4|HTR1A		
UK-356618	Preclinical	metalloproteinase inhibitor	MMP13|MMP14|MMP2|MMP3|MMP9		
UK-383367	Phase 1	procollagen C-endopeptidase inhibitor	BMP1		
UK-5099	Preclinical	monocarboxylate transporter inhibitor	SLC16A1		
uki-1	Preclinical	urokinase inhibitor			
ulifloxacin	Launched			infectious disease	gram-negative bacterial infections|gram-positive bacterial infections
ulipristal	Launched	progesterone receptor antagonist	PGR	endocrinology	contraceptive
umeclidinium	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3	pulmonary	chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema
unbs-5162	Phase 1	CC chemokine receptor antagonist			
UNC0224	Preclinical	histone lysine methyltransferase inhibitor	EHMT1|EHMT2		
UNC0321	Preclinical	histone lysine methyltransferase inhibitor	EHMT2		
UNC0631	Preclinical	histone lysine methyltransferase inhibitor	EHMT2		
UNC0638	Preclinical	histone lysine methyltransferase inhibitor	EHMT1|EHMT2		
UNC0642	Preclinical	histone lysine methyltransferase inhibitor	EHMT1|EHMT2		
UNC0646	Preclinical	histone lysine methyltransferase inhibitor	EHMT2		
UNC0737	Preclinical	histone lysine methyltransferase inhibitor	EHMT1|EHMT2		
UNC1215	Preclinical	L3MBTL antagonist	L3MBTL3		
UNC1999	Preclinical	histone lysine methyltransferase inhibitor	EZH2		
UNC2025	Preclinical	FLT3 inhibitor|MER tyrosine kinase inhibitor	FLT3|MERTK		
UNC2250	Preclinical	MER tyrosine kinase inhibitor	MERTK		
UNC2327	Preclinical	protein arginine N-methyltransferase inhibitor	PRMT3		
UNC3230	Preclinical	phosphatidyl-inositol activator	PIP5K1C		
UNC669	Preclinical	L3MBTL antagonist	L3MBTL1		
UNC926	Preclinical	MBT inhibitor	L3MBTL1		
undecylenic-acid	Launched	other antifungal		infectious disease	tinea pedis|tinea corporis
upadacitinib	Launched	JAK inhibitor			
upamostat	Phase 2	serine protease inhibitor			
UPF-1069	Preclinical	PARP inhibitor	PARP2		
uprifosbuvir	Preclinical	antiviral			
uprosertib	Phase 2	AKT inhibitor	AKT1|AKT2|AKT3		
uracil	Launched		DPYD|UCKL1		
uracil-mustard	Launched	DNA synthesis inhibitor		hematologic malignancy	non-Hodgkin lymphoma (NHL)
urapidil	Launched	adrenergic receptor antagonist	HTR1A	cardiology	hypertension
URB597	Phase 1	FAAH inhibitor	FAAH|FAAH2|TRPA1		
urea	Launched	hydroxy radical formation stimulant	ARG1|CA2|CTNNB1	dermatology	psoriasis|xerosis cutis|ichthyosis vulgaris|eczema|keratosis|dermatitis
urethane	Preclinical	local anesthetic			
uric-acid	Phase 3		PYGL		
uridine	Phase 2	dopamine receptor agonist	LSM6|TYMP		
uridine-triacetate	Launched			nephrology	orotic aciduria
uridine-5'-triphosphate	Launched	purinergic receptor activator	P2RY11|P2RY2|P2RY4|P2RY6|UCK2		
URMC-099	Preclinical	mixed lineage kinase inhibitor	CDKL2|DAPK3|FLT3|LRRK2|MAP3K10|MAP3K11|MAP3K2|MAP3K9|SRPK2		
urolithin-A	Phase 3	antioxidant			
ursodeoxycholyltaurine	Phase 3	cholesterol inhibitor			
ursodiol	Launched	nuclear factor erythroid derived|like (NRF2) activator	AKR1C2|NR1H4	gastroenterology	gallstones
ursolic-acid	Phase 2/Phase 3	ATPase inhibitor|NFkB pathway inhibitor|STAT inhibitor	HSD11B1|PLA2G1B|PTPN1|PYGM		
usniacin-(+)	Preclinical	MAP kinase activator	PTPN1		
V-51	Phase 1	adrenergic receptor antagonist			
vaborbactam	Launched	beta lactamase inhibitor			
vadadustat	Phase 3	hypoxia inducible factor prolyl hydroxylase inhibitor			
val-tyr	Preclinical	angiotensin converting enzyme inhibitor			
valaciclovir	Launched	DNA polymerase inhibitor		infectious disease	shingles|virus herpes simplex (HSV)
valbenazine	Launched	vesicular monoamine transporter inhibitor		neurology/psychiatry	dyskinesia
valdecoxib	Withdrawn	cyclooxygenase inhibitor	CA12|PTGS2		
valethamate	Launched	acetylcholine receptor antagonist	CHRM1|CHRM4|CHRM5	obstetrics/gynecology	labor induction
valganciclovir	Launched	DNA synthesis inhibitor		infectious disease	cytomegalovirus (CMV)
valnemulin	Launched	bacterial 50S ribosomal subunit inhibitor		infectious disease|gastroenterology	dysentry|colitis|pneumonia
valnoctamide	Launched	arachidonic acid acylation inhibitor|benzodiazepine receptor agonist		neurology/psychiatry	sleeplessness
valproic-acid	Launched	benzodiazepine receptor agonist|HDAC inhibitor	ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	epilepsy|seizures|seizures
valpromide	Launched	epoxide hydolase inhibitor		neurology/psychiatry	epilepsy
valrocemide	Phase 2				
valrubicin	Launched	DNA inhibitor|topoisomerase inhibitor	TOP2A	oncology	bladder cancer
valsartan	Launched	angiotensin receptor antagonist	AGTR1	cardiology	hypertension|congestive heart failure|congestive heart failure
valspodar	Phase 3	P glycoprotein inhibitor	ABCB1		
vancomycin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	endocarditis
vandetanib	Launched	EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|VEGFA	oncology	medullary thyroid cancer (MTC)
vanillin	Preclinical		ABAT|ALDH5A1		
vanillylacetone	Preclinical				
vaniprevir	Phase 3	serine protease inhibitor			
vanitiolide	Preclinical				
vanoxerine	Phase 3	dopamine reuptake inhibitor	SLC6A3		
vapendavir	Phase 2	antiviral			
vardenafil	Launched	phosphodiesterase inhibitor	PDE5A|PDE6G|PDE6H	urology	erectile dysfunction
varenicline	Launched	acetylcholine receptor agonist	CHRNA3|CHRNA4|CHRNA6|CHRNA7	neurology/psychiatry	smoking cessation
varespladib	Phase 3	secretory phospholipase inhibitor	PLA2G2A		
vasopressin	Launched	vasopressin receptor agonist	AVPR1A|AVPR1B|AVPR2|OXTR	gastroenterology	abdominal distension
vatalanib	Phase 3	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	EGFR|FLT1|FLT4|KDR|PDGFRB		
vatinoxan	Preclinical	adrenergic receptor antagonist			
VBY-825	Preclinical	cathepsin inhibitor	CTSB|CTSL|CTSS		
VCH-916	Phase 1	HCV inhibitor			
VE-821	Preclinical	ATR kinase inhibitor	ATR		
VE-822	Phase 2	ATR kinase inhibitor	ATM|ATR|MTOR|PIK3CG		
vecabrutinib	Phase 1/Phase 2	Bruton's tyrosine kinase (BTK) inhibitor			
vecuronium	Launched	acetylcholine receptor antagonist	CHRNA2	neurology/psychiatry	muscle relaxant
vedaprofen	Launched	anti-inflammatory agent	PTGS2	neurology/psychiatry|endocrinology	pain relief|fever
velaresol	Preclinical				
veledimex	Phase 2	cytochrome P450 inhibitor			
veliflapon	Phase 3	leukotriene synthesis inhibitor	ALOX5AP		
veliparib	Phase 3	PARP inhibitor	PARP1|PARP2		
velneperit	Phase 2	neuropeptide receptor antagonist	NPY5R		
velpatasvir	Launched	antiviral		infectious disease	hepatitis C
vemurafenib	Launched	RAF inhibitor	BRAF|RAF1	oncology	melanoma
venetoclax	Launched	BCL inhibitor	BCL2	hematologic malignancy	chronic lymphocytic leukemia (CLL)
venlafaxine	Launched	adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)	SLC6A2|SLC6A4	neurology/psychiatry	depression|generalized anxiety disorder (GAD)|panic disorders|social anxiety disorder
VER-155008	Preclinical	HSP inhibitor	HSPA1A		
VER-49009	Preclinical	HSP inhibitor	HSP90AA1		
veralipride	Preclinical	dopamine receptor antagonist			
verapamil	Launched	calcium channel blocker	CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1I|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CYP3A4|KCNA10|KCNA7|KCNH2|KCNJ11|NALCN|SCN5A|SLC29A4|SLC6A4	cardiology	hypertension
verbascoside	Phase 2/Phase 3	NFkB pathway inhibitor|PKC inhibitor			
vercirnon	Phase 3	CC chemokine receptor antagonist	CCR9		
verdinexor	Preclinical	exportin antagonist			
verdiperstat	Phase 3	myeloperoxidase inhibitor			
vericiguat	Phase 3	guanylate cyclase stimulant			
verinurad	Phase 2	urate transporter inhibitor	SLC22A12		
vernakalant	Launched	potassium channel blocker	KCNA5	cardiology	atrial fibrillation (AF)
verteporfin	Launched	photosensitizing agent		ophthalmology	macular degeneration
verubecestat	Phase 3	beta secretase inhibitor			
verubulin	Phase 2	tubulin polymerization inhibitor	TUBB		
verucerfont	Phase 2	corticotropin releasing factor receptor antagonist			
vesamicol	Preclinical	acetylcholinesterase inhibitor	SLC18A3		
vesnarinone	Launched	phosphodiesterase inhibitor	KCNH2|PDE3A	cardiology	congestive heart failure
VGX-1027	Phase 1	tumor necrosis factor receptor antagonist	TLR4		
vicriviroc	Phase 3	CC chemokine receptor antagonist	CCR5		
vidarabine	Launched	antiviral	ADA	infectious disease	virus herpes simplex (HSV)|varicella-zoster virus (VZV)
vigabatrin	Launched	GABA aminotransferase inhibitor	ABAT|SLC32A1	neurology/psychiatry	seizures|spasms
vilanterol	Launched	adrenergic receptor agonist	ADRB2	pulmonary	chronic obstructive pulmonary disease (COPD)
vilazodone	Launched	serotonin reuptake inhibitor	DRD2|DRD3|HRH1|HTR1A|HTR4|SLC6A4	neurology/psychiatry	depression
vildagliptin	Launched	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus
viloxazine	Launched	norepinephrine reuptake inhibitor	SLC6A2	neurology/psychiatry	depression
vinblastine	Launched	microtubule inhibitor|tubulin polymerization inhibitor	JUN|TUBA1A|TUBB|TUBD1|TUBE1|TUBG1	hematologic malignancy|infectious disease|oncology	Hodgkin's lymphoma|true histiocytic lymphoma (THL)|mycosis|small lymphocytic lymphoma (SLL)|testicular carcinoma|Kaposi sarcoma
vinburnine	Launched	adrenergic receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4	neurology/psychiatry	stroke
vincamine	Withdrawn	adrenergic receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4		
vincristine	Launched	tubulin polymerization inhibitor	TUBA4A|TUBB	hematologic malignancy	acute lymphoblastic leukemia (ALL)
vindesine	Launched	tubulin polymerization inhibitor	TUBB|TUBB1	oncology	breast cancer|non-small cell lung cancer (NSCLC)|melanoma
